Time[ms];"IL.FB([Axis1] Current feedback)[Arms]";"VL.CMD([Axis1] Velocity command)[mm/s]";"VL.FB([Axis1] Velocity feedback)[mm/s]";"PL.ERR([Axis1] Position error)[mm]";"PL.FB([Axis1] Position feedback)[mm]";"IL.BUSFF([Axis1] External feed-forward)[Arms]";;;;#ParentName;#Name;#Type;#Value
174,375;-0,281;0,713;0,471;0,142;0,055;0;;;;;;;
175;-0,323;0,718;-1,222;0,143;0,058;0;;;;;;;
175,625;-0,269;0,709;1,762;0,142;0,056;0;;;;;;;
176,25;-0,323;0,724;-1,34;0,144;0,058;0;;;;;;;
176,875;-0,275;0,722;0,913;0,144;0,057;0;;;;;;;
177,5;-0,3;0,72;1,462;0,144;0,058;0;;;;;;;
178,125;-0,295;0,721;-0,544;0,144;0,058;0;;;;;;;
178,75;-0,266;0,721;0,826;0,144;0,055;0;;;;;;;
179,375;-0,325;0,729;-2,559;0,146;0,059;0;;;;;;;
180;-0,27;0,713;-0,328;0,142;0,055;0;;;;;;;
180,625;-0,314;0,721;0,759;0,144;0,058;0;;;;;;;
181,25;-0,273;0,714;-1,35;0,142;0,056;0;;;;;;;
181,875;-0,287;0,712;-1,203;0,142;0,057;0;;;;;;;
182,5;-0,292;0,716;-1,631;0,143;0,056;0;;;;;;;
183,125;-0,263;0,707;1,149;0,141;0,055;0;;;;;;;
183,75;-0,303;0,724;-2,632;0,145;0,056;0;;;;;;;
184,375;-0,258;0,717;2,012;0,143;0,054;0;;;;;;;
185;-0,31;0,73;1,231;0,146;0,056;0;;;;;;;
185,625;-0,281;0,73;-1,763;0,146;0,054;0;;;;;;;
186,25;-0,28;0,733;0,054;0,146;0,054;0;;;;;;;
186,875;-0,3;0,739;-3,197;0,147;0,055;0;;;;;;;
187,5;-0,257;0,73;0,684;0,146;0,052;0;;;;;;;
188,125;-0,309;0,748;-1,068;0,149;0,053;0;;;;;;;
188,75;-0,241;0,739;-2,9;0,147;0,049;0;;;;;;;
189,375;-0,285;0,746;3,337;0,149;0,052;0;;;;;;;
190;-0,275;0,73;2,439;0,146;0,053;0;;;;;;;
190,625;-0,268;0,731;-0,028;0,146;0,052;0;;;;;;;
191,25;-0,292;0,74;-1,018;0,148;0,054;0;;;;;;;
191,875;-0,242;0,732;-0,249;0,146;0,051;0;;;;;;;
192,5;-0,292;0,743;0,045;0,148;0,053;0;;;;;;;
193,125;-0,25;0,738;-0,683;0,147;0,051;0;;;;;;;
193,75;-0,282;0,754;-0,514;0,15;0,052;0;;;;;;;
194,375;-0,269;0,747;1,436;0,149;0,053;0;;;;;;;
195;-0,259;0,748;-0,912;0,149;0,05;0;;;;;;;
195,625;-0,292;0,757;2,724;0,151;0,054;0;;;;;;;
196,25;-0,236;0,741;0,346;0,148;0,05;0;;;;;;;
196,875;-0,288;0,75;-0,583;0,15;0,053;0;;;;;;;
197,5;-0,235;0,736;0,107;0,147;0,05;0;;;;;;;
198,125;-0,266;0,736;0,448;0,147;0,052;0;;;;;;;
198,75;-0,269;0,733;-0,039;0,146;0,052;0;;;;;;;
199,375;-0,248;0,74;0,507;0,148;0,051;0;;;;;;;
200;-0,281;0,752;-3,597;0,15;0,053;0;;;;;;;
200,625;-0,232;0,736;-0,372;0,147;0,05;0;;;;;;;
201,25;-0,276;0,753;0,046;0,15;0,053;0;;;;;;;
201,875;-0,239;0,739;0,672;0,148;0,05;0;;;;;;;
202,5;-0,257;0,75;0,833;0,15;0,051;0;;;;;;;
203,125;-0,259;0,752;1,818;0,15;0,052;0;;;;;;;
203,75;-0,225;0,748;1,017;0,149;0,05;0;;;;;;;
204,375;-0,28;0,754;-3,293;0,151;0,053;0;;;;;;;
205;-0,232;0,737;1,992;0,147;0,05;0;;;;;;;
205,625;-0,284;0,741;-0,328;0,148;0,053;0;;;;;;;
206,25;-0,242;0,733;0,859;0,146;0,052;0;;;;;;;
206,875;-0,246;0,744;-0,254;0,148;0,049;0;;;;;;;
207,5;-0,259;0,74;0,24;0,148;0,052;0;;;;;;;
208,125;-0,216;0,743;0,937;0,148;0,051;0;;;;;;;
208,75;-0,276;0,749;-1,814;0,15;0,053;0;;;;;;;
209,375;-0,217;0,737;-1,005;0,147;0,049;0;;;;;;;
210;-0,278;0,75;0,928;0,15;0,053;0;;;;;;;
