Time[ms];"IL.FB([Axis1] Current feedback)[Arms]";"VL.CMD([Axis1] Velocity command)[mm/s]";"VL.FB([Axis1] Velocity feedback)[mm/s]";"PL.ERR([Axis1] Position error)[mm]";"PL.FB([Axis1] Position feedback)[mm]";"IL.BUSFF([Axis1] External feed-forward)[Arms]";;;;#ParentName;#Name;#Type;#Value
136,25;0,399;-0,81;-0,613;-0,162;14,16;0;;;;;;;
136,875;0,35;-0,805;0,98;-0,161;14,161;0;;;;;;;
137,5;0,401;-0,808;0,932;-0,161;14,161;0;;;;;;;
138,125;0,359;-0,806;-1,124;-0,161;14,161;0;;;;;;;
138,75;0,371;-0,811;1,107;-0,162;14,161;0;;;;;;;
139,375;0,386;-0,807;-0,866;-0,161;14,161;0;;;;;;;
140;0,329;-0,81;1,548;-0,162;14,162;0;;;;;;;
140,625;0,395;-0,811;-1,281;-0,162;14,16;0;;;;;;;
141,25;0,335;-0,802;-0,433;-0,16;14,162;0;;;;;;;
141,875;0,399;-0,811;-2,06;-0,162;14,161;0;;;;;;;
142,5;0,349;-0,803;-0,049;-0,16;14,163;0;;;;;;;
143,125;0,368;-0,805;-0,393;-0,161;14,162;0;;;;;;;
143,75;0,38;-0,81;-1,02;-0,162;14,161;0;;;;;;;
144,375;0,339;-0,807;-0,861;-0,161;14,163;0;;;;;;;
145;0,395;-0,811;-1,768;-0,162;14,16;0;;;;;;;
145,625;0,342;-0,807;0,745;-0,161;14,163;0;;;;;;;
146,25;0,388;-0,809;-1,193;-0,161;14,162;0;;;;;;;
146,875;0,356;-0,809;-0,94;-0,161;14,161;0;;;;;;;
147,5;0,358;-0,812;-0,566;-0,162;14,162;0;;;;;;;
148,125;0,376;-0,808;-1,485;-0,161;14,161;0;;;;;;;
148,75;0,327;-0,808;-1,316;-0,161;14,162;0;;;;;;;
149,375;0,399;-0,811;-0,796;-0,162;14,16;0;;;;;;;
150;0,338;-0,804;0,493;-0,16;14,162;0;;;;;;;
150,625;0,38;-0,811;0,851;-0,162;14,162;0;;;;;;;
151,25;0,353;-0,806;-0,439;-0,161;14,161;0;;;;;;;
151,875;0,341;-0,807;-0,422;-0,161;14,162;0;;;;;;;
152,5;0,372;-0,808;-0,545;-0,161;14,161;0;;;;;;;
153,125;0,334;-0,808;-0,176;-0,161;14,161;0;;;;;;;
153,75;0,376;-0,813;2,085;-0,162;14,162;0;;;;;;;
154,375;0,323;-0,808;-0,029;-0,161;14,162;0;;;;;;;
155;0,356;-0,812;-0,853;-0,162;14,162;0;;;;;;;
155,625;0,345;-0,816;1,577;-0,163;14,162;0;;;;;;;
156,25;0,319;-0,812;-0,288;-0,162;14,163;0;;;;;;;
156,875;0,38;-0,814;-0,102;-0,163;14,162;0;;;;;;;
157,5;0,332;-0,807;-0,965;-0,161;14,163;0;;;;;;;
158,125;0,38;-0,815;1,073;-0,163;14,161;0;;;;;;;
158,75;0,332;-0,806;-0,816;-0,161;14,162;0;;;;;;;
159,375;0,345;-0,808;0,509;-0,161;14,163;0;;;;;;;
160;0,346;-0,802;-2,484;-0,16;14,161;0;;;;;;;
160,625;0,31;-0,808;1,436;-0,161;14,163;0;;;;;;;
161,25;0,369;-0,817;-0,169;-0,163;14,161;0;;;;;;;
161,875;0,297;-0,81;2,532;-0,162;14,163;0;;;;;;;
162,5;0,376;-0,817;-0,935;-0,163;14,162;0;;;;;;;
163,125;0,335;-0,814;-1,156;-0,162;14,162;0;;;;;;;
163,75;0,338;-0,818;0,124;-0,163;14,163;0;;;;;;;
164,375;0,342;-0,811;-0,847;-0,162;14,161;0;;;;;;;
165;0,316;-0,808;-3,129;-0,161;14,16;0;;;;;;;
165,625;0,368;-0,814;3,594;-0,162;14,161;0;;;;;;;
166,25;0,3;-0,802;-0,995;-0,16;14,163;0;;;;;;;
166,875;0,364;-0,81;-0,291;-0,162;14,161;0;;;;;;;
167,5;0,322;-0,803;-1,951;-0,16;14,162;0;;;;;;;
168,125;0,331;-0,812;0,887;-0,162;14,162;0;;;;;;;
